Time,Event,CustomerID,Details
0.0,ARRIVAL,1,Entered restaurant
0.0,SEATED,1,Server 0
0.0,COOK_START,1,Cook 0
1.2960797902139702,ARRIVAL,2,Entered restaurant
1.2960797902139702,SEATED,2,Server 1
1.2960797902139702,COOK_START,2,Cook 1
5.016214210231813,ARRIVAL,3,Entered restaurant
5.016214210231813,SEATED,3,Server 2
10.725856841344122,ARRIVAL,4,Entered restaurant
10.725856841344122,SEATED,4,Server 3
13.835054803708479,COOK_START,3,Cook 1
13.835054803708479,COOK_COMPLETE,2,Cook 1
14.087196925101273,COOK_START,4,Cook 0
14.087196925101273,COOK_COMPLETE,1,Cook 0
16.56250657827069,ARRIVAL,5,Entered restaurant
16.56250657827069,SEATED,5,Server 4
18.83505480370848,COMPLETE,2,Satisfaction=100.0
19.087196925101274,COMPLETE,1,Satisfaction=100.0
19.302863711827097,ARRIVAL,6,Entered restaurant
19.302863711827097,SEATED,6,Server 5
22.802656375057204,COOK_START,5,Cook 0
22.802656375057204,COOK_COMPLETE,4,Cook 0
24.102309097850615,COOK_START,6,Cook 1
24.102309097850615,COOK_COMPLETE,3,Cook 1
24.501254215655674,ARRIVAL,7,Entered restaurant
24.501254215655674,SEATED,7,Server 0
27.31022784538814,ARRIVAL,8,Entered restaurant
27.31022784538814,SEATED,8,Server 1
27.802656375057204,COMPLETE,4,Satisfaction=100.0
28.84363146913836,ARRIVAL,9,Entered restaurant
28.84363146913836,SEATED,9,Server 2
29.102309097850615,COMPLETE,3,Satisfaction=100.0
30.01336375251104,ARRIVAL,10,Entered restaurant
30.01336375251104,SEATED,10,Server 3
30.71569867330825,ARRIVAL,11,Entered restaurant
30.71569867330825,SEATED,11,Server 4
30.95997740365676,ARRIVAL,12,Entered restaurant
30.95997740365676,SEATED,12,Server 5
31.484042887542277,ARRIVAL,13,Entered restaurant
31.484042887542277,SEATED,13,Server 0
32.55586993723199,COOK_START,7,Cook 1
32.55586993723199,COOK_COMPLETE,6,Cook 1
36.00639457438436,COOK_START,8,Cook 0
36.00639457438436,COOK_COMPLETE,5,Cook 0
37.55586993723199,COMPLETE,6,Satisfaction=100.0
40.86753695139124,ARRIVAL,14,Entered restaurant
40.86753695139124,SEATED,14,Server 1
41.00639457438436,COMPLETE,5,Satisfaction=100.0
42.713927141052665,ARRIVAL,15,Entered restaurant
42.713927141052665,SEATED,15,Server 2
42.83970227017122,COOK_START,9,Cook 1
42.83970227017122,COOK_COMPLETE,7,Cook 1
43.25740660871749,ARRIVAL,16,Entered restaurant
43.25740660871749,SEATED,16,Server 3
47.4017693101736,ARRIVAL,17,Entered restaurant
47.4017693101736,SEATED,17,Server 4
47.83970227017122,COMPLETE,7,Satisfaction=100.0
48.91010728265012,COOK_START,10,Cook 0
48.91010728265012,COOK_COMPLETE,8,Cook 0
53.91010728265012,COMPLETE,8,Satisfaction=100.0
55.957530769487086,ARRIVAL,18,Entered restaurant
55.957530769487086,SEATED,18,Server 5
56.28814926781953,COOK_START,11,Cook 1
56.28814926781953,COOK_COMPLETE,9,Cook 1
56.67775752088212,ARRIVAL,19,Entered restaurant
56.67775752088212,SEATED,19,Server 0
58.13314738146583,COOK_START,12,Cook 0
58.13314738146583,COOK_COMPLETE,10,Cook 0
61.28814926781953,COMPLETE,9,Satisfaction=100.0
63.13314738146583,COMPLETE,10,Satisfaction=100.0
